"code","state","regions","Y1945","Y1949","Y1954","Y1959","Y1964","Y1969","Y1974","Y1978","Y1982","Y1987","Y1992","Y1997","Y2002","Y2007"
"AK","  Alaska","Others",NA,58.132,NA,58.472,58.848,58.503,57.898,57.56,36.971,36.227,36.106,36.224,35.722,34.94
"HI","  Hawaii","Others",NA,25.927,NA,14.223,8.55,12.768,6.542,7.709,11.26,8.828,3.162,5.351,9.098,15.197
"XX","Northeast","Northeast Total",4.548,5.527,6.399,5.327,4.373,4.206,5.532,5.289,4.002,3.986,5.028,6.899,5.781,2.938
"XX","Lake States","Lake States Total",4.056,5.219,5.823,4.093,3.555,7.174,7.967,8.507,8.743,9.673,10.576,11.231,9.466,7.3
"XX","Corn Belt","Corn Belt Total",4.79,7.801,6.894,3.691,4.49,3.429,5.517,5.732,5.421,5.154,3.954,4.495,4.891,3.278
"XX","Northern Plains","Northern Plains Total",3.074,2.686,1.393,0.652,0.98,1.274,2.307,3.169,2.945,3.19,3.527,3.32,4.494,3.524
"XX","Appalachian","Appalachian Total",4.583,5.014,4.121,3.003,2.147,1.689,2.821,3.231,3.605,3.61,3.12,4.037,3.638,3.362
"XX","Southeast","Southeast Total",7.478,5.674,2.303,1.825,2.302,4.081,2.829,2.899,3.426,3.881,3.909,5.041,7.094,5.526
"XX","Delta States","Delta States Total",9.097,5.915,6.656,4.735,3.496,4.817,5.113,6.375,6.807,8.075,7.061,6.841,7.229,7.326
"XX","Southern Plains","Southern Plains Total",1.841,4.947,2.69,1.011,0.729,1.19,1.779,0.976,1.008,1.764,1.58,3.696,4.557,2.832
"XX","Mountain","Mountain Total",5.073,3.491,3.694,5.7,3.999,5.279,6.204,5.541,5.094,5.099,4.861,5.635,4.226,2.456
"XX","Pacific","Pacific Total",6.899,2.33,5.799,8.166,5.976,6.731,5.707,6.883,6.698,7.168,7.617,5.676,4.803,3.243
"XX","Others","Other Total",NA,57.775,NA,57.98,58.274,57.99,57.322,57.001,36.685,35.922,35.739,35.88,35.426,34.721
