"code","state","regions","Y1945","Y1949","Y1954","Y1959","Y1964","Y1969","Y1974","Y1978","Y1982","Y1987","Y1992","Y1997","Y2002","Y2007"
"ME","  Maine ","Northeast",2.26,2.426,2.371,2.564,2.682,2.89,2.855,1.875,2.057,2.163,2.293,2.633,2.982,3.041
"NH","  New Hampshire","Northeast",2.736,3.067,2.859,2.947,3.546,2.112,2.441,3.6,3.926,4.569,4.634,5.54,5.871,9.849
"VT","  Vermont","Northeast",1.987,1.937,1.852,2.055,4.364,3.22,3.726,4.08,4.179,7.11,5.709,5.693,5.845,7.895
"MA","  Massachusetts","Northeast",5.474,5.839,6.276,5.601,7.181,5.271,4.312,8.485,10.483,11.122,11.144,11.005,11.06,13.518
"RI","  Rhode Island","Northeast",6.499,6.795,6.352,7.09,7.601,7.004,5.365,9.985,10.519,8.741,8.819,9.118,9.268,10.433
"CT","  Connecticut","Northeast",5.008,5.136,5.455,5.518,5.358,3.792,3.631,3.92,5.035,9.974,9.481,9.61,9.449,10.812
"NY","  New York","Northeast",10.872,11.837,11.244,11.623,11.924,13.126,12.466,12.446,12.622,12.856,12.404,12.603,13.142,13.389
"NJ","  New Jersey","Northeast",5.671,6.876,6.959,7.21,7.884,7.729,7.771,8.996,12.095,14.899,14.848,15.333,17.084,18.244
"PA","  Pennsylvania","Northeast",3.999,7.27,6.917,7.02,7.34,7.857,7.825,8.156,8.594,8.386,8.213,8.29,9.044,9.882
"DE","  Delaware","Northeast",5.924,6.635,6.319,6.872,7.019,7.65,7.808,7.808,7.437,9.135,8.153,8.233,8.953,11.857
"MD","  Maryland","Northeast",5.31,5.993,5.724,5.966,6.319,7.314,7.615,8.784,8.259,10.388,10.518,11.685,11.751,9.635
"MI","  Michigan","Lake States",4.905,6.483,5.321,6.401,6.545,6.853,6.908,5.547,5.457,6.826,6.794,6.788,7.386,7.788
"WI","  Wisconsin","Lake States",4.472,4.821,4.898,5.573,6.099,5.7,5.52,6.116,6.235,6.172,6.45,6.277,7.017,6.709
"MN","  Minnesota  ","Lake States",4.22,6.534,6.714,6.845,6.881,6.192,6.45,8.235,8.354,14.859,8.464,8.631,9.184,9.748
"OH","  Ohio","Corn Belt",4.332,4.642,4.604,4.912,4.838,4.736,4.801,5.026,4.744,4.512,4.43,4.395,5.319,5.127
"IN","  Indiana","Corn Belt",5.317,5.295,5.446,5.268,5.25,5,4.913,4.896,4.705,4.201,3.907,4.8,5.533,5.939
"IL","  Illinois","Corn Belt",4.971,5.282,5.162,5.143,5.254,4.905,4.796,5.059,5.467,5.282,5.391,5.343,5.546,7.017
"IA","  Iowa","Corn Belt",4.583,4.653,4.684,4.59,4.882,4.285,4.315,4.659,4.743,4.367,4.379,4.334,5.196,6.054
"MO","  Missouri","Corn Belt",3.573,3.503,3.611,3.772,3.775,3.49,3.32,3.884,3.937,3.95,3.903,3.948,4.396,4.633
"ND","  North Dakota","Northern Plains",3.81,4.162,4.677,4.42,4.878,3.124,3.279,4.114,4.097,3.61,3.63,3.372,3.819,4.419
"SD","  South Dakota","Northern Plains",3.942,3.797,3.609,4.353,4.785,3.528,3.08,3.256,3.285,3.129,3.298,3.243,3.82,4.75
"NE","  Nebraska","Northern Plains",3.331,3.328,3.365,3.326,3.434,3.075,2.895,3.118,3.125,3.087,3.008,2.892,3.356,3.748
"KS","  Kansas","Northern Plains",3.524,3.56,3.441,3.578,3.755,3.448,3.391,3.32,3.334,3.254,3.139,3.092,3.715,3.951
"VA","  Virginia","Appalachian",4.602,4.41,4.692,5.722,4.965,4.662,4.965,5.432,5.222,5.702,5.686,5.793,6.275,6.56
"WV","  West Virginia","Appalachian",2.504,2.336,2.466,6.022,3.185,2.597,2.674,2.934,4.308,4.425,4.405,4.535,6.029,6.257
"NC","  North Carolina","Appalachian",4.553,5.184,5.534,5.805,5.779,5.988,6.08,5.808,6.196,6.775,7.28,7.261,7.682,9.168
"KY","  Kentucky","Appalachian",4.955,5.307,4.809,3.465,5.45,4.256,4.106,4.114,3.821,3.963,3.925,3.917,6.32,5.162
"TN","  Tennessee","Appalachian",5.593,6.064,5.787,4.688,5.873,5.49,5.248,8.348,8.334,8.178,8.465,8.351,8.984,7.855
"SC","  South Carolina","Southeast",3.989,3.831,5.295,5.724,6.027,5.811,5.599,5.867,6.022,5.815,5.495,5.355,5.573,5.611
"GA","  Georgia","Southeast",4.785,4.892,5.087,5.395,5.448,4.8,4.945,5.026,5.03,4.373,5.056,5.002,5.383,5.594
"FL","  Florida","Southeast",4.506,5.981,7.487,8.084,7.949,9.264,10.85,12.005,11.602,12.998,14.295,13.528,13.062,14.511
"AL","  Alabama","Southeast",3.285,3.197,3.325,3.388,4.305,3.442,3.269,4.542,4.46,4.235,4.224,4.381,4.687,4.727
"MS","  Mississippi","Delta States",3.48,3.767,3.638,3.832,3.603,2.811,2.745,2.739,2.812,2.911,2.898,2.824,3.188,3.192
"AR","  Arkansas","Delta States",3.064,3.316,3.595,4.039,4.45,3.309,3.447,3.757,3.894,4.104,4.255,4.351,4.603,4.704
"LA","  Louisiana","Delta States",3.441,4.325,4.304,4.354,4.485,4.211,4.152,4.451,4.64,4.626,5.1,5.007,6.912,7.082
"OK","  Oklahoma","Southern Plains",3.367,4.212,4.09,4.13,5.223,3.601,3.394,3.169,3.209,3.027,3.176,3.36,3.72,3.939
"TX","  Texas","Southern Plains",2.079,2.335,2.344,2.543,2.635,2.56,2.524,2.701,2.787,2.791,3,3.199,3.268,3.712
"MT","  Montana","Mountain",2.944,3.464,3.483,3.243,5.127,4.628,4.876,6.409,6.412,6.604,6.537,6.885,7.367,8.574
"ID","  Idaho","Mountain",1.191,2.828,3.57,3.032,7.484,7.425,7.441,8.06,9.796,10.007,9.87,9.943,11.658,11.204
"WY","  Wyoming","Mountain",4.545,5.259,4.497,4.979,8.97,8.393,8.539,8.984,9.292,10.138,10.131,10.189,10.324,11.714
"CO","  Colorado","Mountain",3.239,2.463,2.745,2.676,3.983,4.15,4.228,5.293,7.003,7.232,7.467,8.586,9.072,9.538
"NM","  New Mexico","Mountain",3.804,3.068,3.139,5.329,6.397,6.354,6.494,6.401,6.798,4.696,7.629,8.188,8.303,8.339
"AZ","  Arizona","Mountain",9.751,5.858,6.884,9.278,10.477,10.562,11.268,12.658,12.476,13.558,16.941,13.876,15.638,18.062
"UT","  Utah","Mountain",5.106,5.524,5.985,4.998,8.577,9.092,9.412,9.092,9.33,10.378,10.554,9.62,9.431,11.142
"NV","  Nevada","Mountain",9.003,6.108,7.085,7.987,8.061,10.107,10.026,10.643,10.685,10.688,10.771,8.148,9.791,13.566
"WA","  Washington","Pacific",5.181,4.841,6.53,6.788,10.517,11.339,10.91,12.322,12.583,15.592,14.78,15.578,16.061,16.766
"OR","  Oregon","Pacific",1.964,2.271,2.265,2.318,3.643,3.506,3.693,4.32,4.397,5.796,5.879,5.85,6.423,7.004
"CA","  California","Pacific",8.654,8.977,10.525,10.274,12.196,12.523,12.733,13.188,13.823,14.764,13.396,21.033,21.598,25.424
"AK","  Alaska ","Others",NA,NA,NA,4.67,7.781,8.405,9.053,9.478,38.741,39.011,39.343,39.177,39.137,39.164
"HI","  Hawaii ","Others",NA,NA,NA,7.331,8.98,11.576,16.148,13.011,22.519,19.601,18.487,18.706,18.706,20.033
"01","Northeast","Northeast Total",5.671,6.938,6.671,6.858,7.316,7.603,7.416,7.741,8.163,8.795,8.572,8.829,9.34,10.067
"02","Lake States","Lake States Total",4.496,6.03,5.782,6.35,6.558,6.249,6.321,6.828,6.886,9.986,7.392,7.413,8.031,8.299
"03","Corn Belt","Corn Belt Total",4.459,4.569,4.594,4.637,4.711,4.378,4.314,4.629,4.679,4.453,4.413,4.522,5.123,5.718
"04","Northern Plains","Northern Plains Total",3.646,3.699,3.748,3.901,4.188,3.3,3.163,3.434,3.443,3.262,3.258,3.143,3.674,4.206
"05","Appalachian","Appalachian Total",4.616,4.887,4.888,5.096,5.243,4.833,4.846,5.569,5.729,5.984,6.159,6.167,7.186,7.168
"06","Southeast","Southeast Total",4.188,4.585,5.327,5.67,5.938,5.852,6.261,6.986,6.878,6.98,7.492,7.282,7.378,7.864
"07","Delta States","Delta States Total",3.317,3.777,3.83,4.069,4.184,3.427,3.437,3.639,3.77,3.874,4.066,4.048,4.844,4.933
"08","Southern Plains","Southern Plains Total",2.347,2.725,2.706,2.872,3.172,2.776,2.705,2.798,2.874,2.84,3.037,3.233,3.362,3.759
"09","Mountain","Mountain Total",4.999,4.283,4.621,5.223,7.25,7.43,7.633,8.353,8.825,8.948,9.844,9.298,10.064,11.414
"10","Pacific","Pacific Total",5.914,6.094,7.203,7.15,9.269,9.558,9.628,10.334,10.722,12.233,11.421,15.317,15.867,18.063
"11",NA,"Other Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
