"code","state","regions","Y1945","Y1949","Y1954","Y1959","Y1964","Y1969","Y1974","Y1978","Y1982","Y1987","Y1992","Y1997","Y2002","Y2007"
"AK","  Alaska","Others",NA,41.865,NA,36.203,32.593,32.626,32.571,32.532,23.826,24.264,24.089,24.089,24.717,25.625
"HI","  Hawaii","Others",NA,29.537,NA,48.709,42.895,39.543,39.543,39.154,25.948,32.053,34.906,28.922,37.752,37.764
"01","Northeast","Northeast Total",54.971,55.846,56.539,56.84,59.379,63.535,62.187,60.699,61.55,61.438,61.332,59.153,58.788,59.946
"02","Lake States","Lake States Total",44.378,44.464,44.373,43.584,43.797,43.011,42.886,40.858,39.771,37.831,39.592,40.294,40.175,41.584
"03","Corn Belt","Corn Belt Total",17.499,17.81,18.764,18.314,18.403,18.862,17.657,16.845,16.894,17.67,18.997,19.029,19.021,20.819
"04","Northern Plains","Northern Plains Total",2.095,2.414,2.777,2.356,2.183,2.315,2.324,2.271,2.202,2.016,1.901,2.222,2.234,2.922
"05","Appalachian","Appalachian Total",50.964,51.735,54.579,55.649,58.805,59.015,59.016,58.001,57.253,56.906,57.871,57.775,57.819,57.236
"06","Southeast","Southeast Total",58.653,60.306,62.872,61.946,63.797,62.357,61.705,60.752,59.333,59.449,59.52,58.307,59.732,60.939
"07","Delta States","Delta States Total",55.27,56.771,55.615,57.444,58.989,54.7,54.699,53.597,51.956,51.539,52.906,55.54,55.541,57.35
"08","Southern Plains","Southern Plains Total",21.738,22.17,20.251,17.852,15.566,15.577,15.742,14.956,9.871,9.69,10.242,8.507,8.514,11.716
"09","Mountain","Mountain Total",22.129,21.436,23.722,23.977,23.273,21.876,21.876,21.725,21.857,21.454,20.562,20.546,21.318,22.172
"10","Pacific","Pacific Total",47.123,47.465,43.921,43.943,43.938,44.044,43.943,42.051,41.673,39.468,38.885,37.602,38.411,36.313
"11","Others","Other Total",0,41.728,0,36.342,32.711,32.704,32.649,32.606,23.85,24.35,24.21,24.143,24.861,25.76
